time_of_day,steps,temperature,wind_speed,genre/mood,music
Morning,8454,38.5,9.9,Jazz,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Evening,5962,0.8,14.3,Classical,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,3213,0.1,26.4,Chill,Shape of You - Ed Sheeran
Evening,17579,20.0,9.8,Classical,Apna Bana Le - Arijit Singh
Evening,12073,16.1,18.7,Classical,Channa Mereya - Arijit Singh
Night,18142,36.5,1.4,Pop,Tum Hi Ho - Arijit Singh
Morning,5240,17.3,14.7,Jazz,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Evening,6701,6.4,10.5,Hip-Hop,Zaroori Tha - Rahat Fateh Ali Khan
Evening,12328,9.7,16.0,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Morning,2847,2.4,25.4,Pop,Kesariya - Arijit Singh
Evening,11721,10.4,21.2,Classical,Afreen Afreen - Rahat Fateh Ali Khan
Morning,2718,6.2,28.2,Classical,Levitating - Dua Lipa
Night,15056,24.4,0.6,Pop,Apna Bana Le - Arijit Singh
Evening,19494,22.3,12.4,Jazz,Blinding Lights - The Weeknd
Afternoon,3865,10.5,9.7,Hip-Hop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Afternoon,19983,5.1,1.1,Chill,Tum Hi Ho - Arijit Singh
Night,7805,36.7,14.5,Chill,Channa Mereya - Arijit Singh
Night,17288,16.1,6.3,Chill,Levitating - Dua Lipa
Morning,11658,13.4,22.7,Jazz,Channa Mereya - Arijit Singh
Evening,13731,32.0,16.6,Rock,Levitating - Dua Lipa
Night,13940,32.6,28.3,Chill,Drivers License - Olivia Rodrigo
Evening,5984,30.4,17.1,Chill,Afreen Afreen - Rahat Fateh Ali Khan
Morning,14113,10.4,9.8,Pop,Tum Hi Ho - Arijit Singh
Evening,12432,39.3,19.5,Jazz,Someone Like You - Adele
Evening,12568,1.3,4.4,Rock,Afreen Afreen - Rahat Fateh Ali Khan
Morning,4780,39.9,1.7,Rock,Tajdar-e-Haram - Atif Aslam
Evening,6927,38.5,6.8,Jazz,Levitating - Dua Lipa
Evening,7094,35.4,7.6,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,16024,34.2,16.9,Hip-Hop,Someone Like You - Adele
Night,17440,28.3,9.2,Chill,Someone Like You - Adele
Evening,16155,11.4,13.5,Jazz,Tajdar-e-Haram - Atif Aslam
Night,10121,0.8,29.1,Jazz,Apna Bana Le - Arijit Singh
Night,8062,14.8,13.9,Pop,Apna Bana Le - Arijit Singh
Afternoon,14596,19.3,14.9,Classical,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,7595,3.3,18.8,Jazz,Someone Like You - Adele
Night,12046,37.3,0.0,Hip-Hop,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,10957,16.3,14.6,Jazz,Blinding Lights - The Weeknd
Morning,16546,20.5,19.2,Chill,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,10147,17.8,13.6,Classical,Afreen Afreen - Rahat Fateh Ali Khan
Night,12408,21.6,7.7,Chill,Zaroori Tha - Rahat Fateh Ali Khan
Night,7471,2.4,13.6,Hip-Hop,Shape of You - Ed Sheeran
Morning,12714,26.3,28.6,Classical,Apna Bana Le - Arijit Singh
Morning,3778,7.1,19.7,Classical,Levitating - Dua Lipa
Night,11095,25.3,10.7,Pop,Aadat - Jal Band
Evening,19855,6.6,24.9,Classical,Someone Like You - Adele
Night,6521,10.3,22.3,Chill,Tera Ban Jaunga - Akhil Sachdeva
Morning,12746,26.9,3.8,Classical,Blinding Lights - The Weeknd
Morning,1086,38.3,20.7,Hip-Hop,Tum Hi Ho - Arijit Singh
Morning,17919,6.8,11.1,Hip-Hop,Drivers License - Olivia Rodrigo
Night,7554,5.5,15.5,Classical,Someone Like You - Adele
Night,19146,27.7,12.2,Rock,Apna Bana Le - Arijit Singh
Afternoon,6355,5.7,22.6,Rock,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Afternoon,3136,1.1,26.5,Jazz,Aadat - Jal Band
Night,3605,19.7,14.6,Rock,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,9694,10.5,26.1,Jazz,Tera Ban Jaunga - Akhil Sachdeva
Evening,7566,21.1,15.1,Hip-Hop,Aadat - Jal Band
Morning,13587,2.4,18.4,Rock,Shape of You - Ed Sheeran
Night,11949,10.9,23.2,Chill,Blinding Lights - The Weeknd
Evening,19823,0.7,11.3,Pop,Blinding Lights - The Weeknd
Evening,6509,27.6,4.3,Chill,Apna Bana Le - Arijit Singh
Afternoon,9819,29.7,12.5,Chill,Someone Like You - Adele
Evening,19293,20.4,25.0,Hip-Hop,Blinding Lights - The Weeknd
Afternoon,2166,2.8,21.2,Hip-Hop,Drivers License - Olivia Rodrigo
Afternoon,14025,16.8,28.1,Chill,Kesariya - Arijit Singh
Night,3710,27.8,27.5,Rock,Shape of You - Ed Sheeran
Afternoon,17429,10.4,30.0,Jazz,Aadat - Jal Band
Evening,10371,16.0,12.6,Hip-Hop,Someone Like You - Adele
Afternoon,4497,4.5,14.8,Rock,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,17030,37.2,28.9,Pop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,5235,10.6,0.8,Classical,Channa Mereya - Arijit Singh
Morning,10633,28.3,21.3,Classical,Aadat - Jal Band
Afternoon,1967,1.8,26.7,Pop,Afreen Afreen - Rahat Fateh Ali Khan
Morning,17210,8.7,18.3,Rock,Channa Mereya - Arijit Singh
Evening,18657,25.2,10.4,Classical,Kesariya - Arijit Singh
Night,7189,17.0,2.5,Classical,Blinding Lights - The Weeknd
Evening,17991,29.0,8.9,Pop,Blinding Lights - The Weeknd
Evening,6664,29.2,6.1,Rock,Apna Bana Le - Arijit Singh
Afternoon,8026,19.0,7.6,Chill,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,18792,2.6,25.1,Hip-Hop,Kesariya - Arijit Singh
Night,1634,14.9,18.4,Chill,Channa Mereya - Arijit Singh
Morning,11382,39.6,15.9,Chill,Tajdar-e-Haram - Atif Aslam
Evening,15820,7.0,28.6,Chill,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Afternoon,17440,4.0,9.5,Jazz,Kesariya - Arijit Singh
Evening,9038,37.3,7.1,Pop,Shape of You - Ed Sheeran
Night,3701,34.7,0.3,Rock,Tajdar-e-Haram - Atif Aslam
Afternoon,16970,14.9,9.5,Hip-Hop,Levitating - Dua Lipa
Afternoon,4118,10.8,16.2,Chill,Kesariya - Arijit Singh
Evening,15747,26.5,29.2,Pop,Drivers License - Olivia Rodrigo
Evening,19744,30.5,3.5,Classical,Drivers License - Olivia Rodrigo
Evening,15529,6.8,24.7,Pop,Aadat - Jal Band
Afternoon,17186,17.1,24.9,Chill,Drivers License - Olivia Rodrigo
Afternoon,18656,36.1,3.6,Rock,Levitating - Dua Lipa
Afternoon,11245,8.6,14.1,Classical,Kesariya - Arijit Singh
Evening,12039,12.5,9.7,Rock,Channa Mereya - Arijit Singh
Afternoon,1979,8.3,0.4,Hip-Hop,Blinding Lights - The Weeknd
Morning,11497,33.6,17.4,Pop,Shape of You - Ed Sheeran
Afternoon,10132,8.7,21.6,Chill,Afreen Afreen - Rahat Fateh Ali Khan
Evening,17322,19.1,20.5,Pop,Blinding Lights - The Weeknd
Morning,9314,0.9,19.7,Classical,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,13379,7.0,23.9,Jazz,Drivers License - Olivia Rodrigo
Afternoon,16620,21.0,12.1,Chill,Someone Like You - Adele
Afternoon,9036,15.8,7.6,Jazz,Tera Ban Jaunga - Akhil Sachdeva
Night,5837,8.3,29.1,Rock,Channa Mereya - Arijit Singh
Evening,15940,24.4,25.5,Rock,Afreen Afreen - Rahat Fateh Ali Khan
Morning,1038,33.5,13.0,Chill,Aadat - Jal Band
Night,9439,3.8,22.5,Chill,Tum Hi Ho - Arijit Singh
Afternoon,6655,5.8,17.2,Chill,Tum Hi Ho - Arijit Singh
Evening,6014,29.7,12.6,Hip-Hop,Someone Like You - Adele
Evening,5099,26.6,4.2,Pop,Drivers License - Olivia Rodrigo
Evening,18652,7.5,7.5,Pop,Tum Hi Ho - Arijit Singh
Afternoon,4851,31.6,17.5,Classical,Aadat - Jal Band
Night,9014,35.3,1.0,Pop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,3504,10.4,4.0,Pop,Levitating - Dua Lipa
Afternoon,4136,15.0,19.5,Chill,Someone Like You - Adele
Morning,2684,2.2,5.2,Hip-Hop,Shape of You - Ed Sheeran
Evening,7526,22.8,7.7,Classical,Drivers License - Olivia Rodrigo
Evening,9262,12.2,4.6,Pop,Levitating - Dua Lipa
Night,12356,10.9,15.9,Pop,Shape of You - Ed Sheeran
Night,4356,31.3,4.9,Jazz,Apna Bana Le - Arijit Singh
Morning,7824,38.7,7.8,Hip-Hop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,4057,15.7,12.5,Pop,Blinding Lights - The Weeknd
Morning,12107,30.1,27.1,Hip-Hop,Channa Mereya - Arijit Singh
Evening,15473,17.3,3.6,Rock,Drivers License - Olivia Rodrigo
Night,12885,39.8,27.1,Chill,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,9263,4.6,27.0,Hip-Hop,Tajdar-e-Haram - Atif Aslam
Evening,15044,30.8,2.6,Hip-Hop,Zaroori Tha - Rahat Fateh Ali Khan
Evening,5382,3.0,4.9,Chill,Apna Bana Le - Arijit Singh
Afternoon,10053,9.3,2.0,Jazz,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,6966,38.8,8.8,Chill,Someone Like You - Adele
Evening,16313,11.7,10.7,Chill,Tajdar-e-Haram - Atif Aslam
Afternoon,14779,10.9,20.0,Jazz,Levitating - Dua Lipa
Night,18724,21.8,13.6,Hip-Hop,Someone Like You - Adele
Evening,17014,0.8,3.8,Classical,Apna Bana Le - Arijit Singh
Night,17042,19.9,12.3,Jazz,Channa Mereya - Arijit Singh
Morning,13015,22.4,1.5,Rock,Drivers License - Olivia Rodrigo
Morning,11818,33.1,27.3,Hip-Hop,Afreen Afreen - Rahat Fateh Ali Khan
Night,12301,2.7,20.1,Pop,Kesariya - Arijit Singh
Morning,16383,37.9,24.8,Chill,Drivers License - Olivia Rodrigo
Evening,7266,27.5,10.9,Hip-Hop,Shape of You - Ed Sheeran
Afternoon,11218,17.3,5.6,Rock,Tum Hi Ho - Arijit Singh
Afternoon,5917,26.0,14.9,Classical,Drivers License - Olivia Rodrigo
Evening,5578,0.6,3.1,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Night,5308,38.7,28.0,Classical,Levitating - Dua Lipa
Morning,19865,9.2,4.3,Pop,Afreen Afreen - Rahat Fateh Ali Khan
Night,10511,39.7,18.8,Classical,Drivers License - Olivia Rodrigo
Morning,7639,2.8,15.6,Hip-Hop,Aadat - Jal Band
Evening,9514,20.3,16.2,Rock,Zaroori Tha - Rahat Fateh Ali Khan
Evening,1595,15.0,5.0,Pop,Channa Mereya - Arijit Singh
Evening,1613,22.7,23.5,Pop,Afreen Afreen - Rahat Fateh Ali Khan
Night,16619,21.7,27.3,Classical,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,18162,14.2,8.7,Rock,Tum Hi Ho - Arijit Singh
Morning,17203,19.4,16.5,Jazz,Tajdar-e-Haram - Atif Aslam
Morning,7736,7.6,17.0,Chill,Someone Like You - Adele
Morning,4833,35.7,8.4,Jazz,Tajdar-e-Haram - Atif Aslam
Afternoon,15676,22.3,0.1,Pop,Channa Mereya - Arijit Singh
Morning,18513,15.4,25.5,Classical,Drivers License - Olivia Rodrigo
Evening,17076,13.9,27.9,Classical,Levitating - Dua Lipa
Morning,5217,26.6,7.1,Classical,Apna Bana Le - Arijit Singh
Morning,4269,18.1,16.3,Pop,Blinding Lights - The Weeknd
Morning,4378,21.7,16.4,Classical,Aadat - Jal Band
Afternoon,8575,37.8,12.8,Hip-Hop,Kesariya - Arijit Singh
Afternoon,15181,3.1,22.8,Classical,Aadat - Jal Band
Night,9783,10.2,18.1,Classical,Kesariya - Arijit Singh
Evening,7658,37.5,26.5,Rock,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,4629,30.4,25.0,Hip-Hop,Channa Mereya - Arijit Singh
Night,15275,1.9,16.2,Hip-Hop,Kesariya - Arijit Singh
Morning,16039,18.3,12.3,Hip-Hop,Afreen Afreen - Rahat Fateh Ali Khan
Night,7887,22.5,16.3,Jazz,Apna Bana Le - Arijit Singh
Afternoon,8786,9.8,3.3,Chill,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Afternoon,19674,13.8,22.0,Hip-Hop,Tum Hi Ho - Arijit Singh
Afternoon,12688,8.9,24.9,Classical,Blinding Lights - The Weeknd
Night,4803,3.5,26.0,Hip-Hop,Aadat - Jal Band
Evening,3403,27.6,3.8,Rock,Kesariya - Arijit Singh
Evening,18477,8.8,10.0,Chill,Drivers License - Olivia Rodrigo
Evening,17011,8.7,22.7,Classical,Apna Bana Le - Arijit Singh
Evening,17597,30.9,28.0,Hip-Hop,Channa Mereya - Arijit Singh
Afternoon,7645,15.1,8.4,Pop,Channa Mereya - Arijit Singh
Evening,11518,15.6,22.6,Pop,Aadat - Jal Band
Night,8648,34.3,9.3,Pop,Channa Mereya - Arijit Singh
Evening,8173,32.8,3.8,Classical,Tera Ban Jaunga - Akhil Sachdeva
Night,13177,31.7,25.6,Chill,Channa Mereya - Arijit Singh
Morning,2723,38.6,23.4,Rock,Tajdar-e-Haram - Atif Aslam
Afternoon,18094,3.8,11.5,Rock,Drivers License - Olivia Rodrigo
Afternoon,5741,20.1,26.3,Hip-Hop,Levitating - Dua Lipa
Morning,17780,1.0,6.1,Jazz,Someone Like You - Adele
Afternoon,12178,14.1,27.1,Classical,Apna Bana Le - Arijit Singh
Afternoon,13877,39.0,22.6,Hip-Hop,Aadat - Jal Band
Afternoon,6802,33.7,25.5,Hip-Hop,Aadat - Jal Band
Evening,15276,27.7,16.1,Hip-Hop,Blinding Lights - The Weeknd
Night,12744,23.8,8.3,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Evening,12955,34.7,8.1,Chill,Someone Like You - Adele
Morning,18049,29.2,8.6,Jazz,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,15341,2.4,25.4,Jazz,Shape of You - Ed Sheeran
Night,7469,6.2,11.7,Chill,Levitating - Dua Lipa
Evening,4349,14.7,10.5,Rock,Tum Hi Ho - Arijit Singh
Morning,17702,28.6,1.4,Chill,Kesariya - Arijit Singh
Night,15612,13.8,23.4,Chill,Kesariya - Arijit Singh
Evening,10035,39.7,18.0,Rock,Apna Bana Le - Arijit Singh
Night,1205,6.0,12.2,Classical,Apna Bana Le - Arijit Singh
Evening,3335,25.9,22.7,Chill,Channa Mereya - Arijit Singh
Morning,6833,12.6,9.9,Pop,Shape of You - Ed Sheeran
Evening,1550,31.5,21.6,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Night,14028,39.0,25.8,Classical,Levitating - Dua Lipa
Evening,14986,25.6,22.2,Jazz,Drivers License - Olivia Rodrigo
Evening,15516,24.6,3.2,Jazz,Someone Like You - Adele
Morning,19389,37.4,23.8,Pop,Apna Bana Le - Arijit Singh
Afternoon,15156,18.1,14.9,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,11464,31.5,1.0,Hip-Hop,Kesariya - Arijit Singh
Evening,11384,23.7,23.8,Rock,Levitating - Dua Lipa
Night,2994,24.4,11.3,Jazz,Apna Bana Le - Arijit Singh
Afternoon,6386,22.9,20.0,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Evening,6561,15.0,29.5,Jazz,Blinding Lights - The Weeknd
Afternoon,3420,19.5,28.0,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Night,18238,26.9,20.5,Rock,Aadat - Jal Band
Evening,2992,14.6,21.2,Hip-Hop,Aadat - Jal Band
Afternoon,10083,38.8,4.8,Classical,Apna Bana Le - Arijit Singh
Morning,14081,31.9,15.9,Jazz,Shape of You - Ed Sheeran
Morning,1729,28.6,24.5,Jazz,Aadat - Jal Band
Night,4443,32.3,0.3,Chill,Kesariya - Arijit Singh
Morning,17701,14.9,5.2,Hip-Hop,Blinding Lights - The Weeknd
Night,15008,23.9,28.4,Chill,Channa Mereya - Arijit Singh
Afternoon,7883,37.0,11.7,Rock,Shape of You - Ed Sheeran
Afternoon,8716,23.8,9.4,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,4945,23.6,0.1,Hip-Hop,Kesariya - Arijit Singh
Night,12084,38.8,18.5,Pop,Shape of You - Ed Sheeran
Night,14120,2.4,13.6,Jazz,Kesariya - Arijit Singh
Morning,19724,32.1,15.6,Pop,Levitating - Dua Lipa
Night,9883,30.9,2.4,Rock,Tera Ban Jaunga - Akhil Sachdeva
Evening,3405,34.1,4.2,Classical,Drivers License - Olivia Rodrigo
Morning,15250,29.5,25.2,Hip-Hop,Levitating - Dua Lipa
Morning,12084,36.1,13.0,Pop,Drivers License - Olivia Rodrigo
Evening,1075,16.9,25.7,Pop,Blinding Lights - The Weeknd
Evening,2907,30.3,3.3,Classical,Levitating - Dua Lipa
Afternoon,3921,12.3,15.9,Classical,Blinding Lights - The Weeknd
Afternoon,19129,12.2,27.4,Hip-Hop,Drivers License - Olivia Rodrigo
Evening,8437,27.9,28.7,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Night,5317,34.8,15.6,Hip-Hop,Tajdar-e-Haram - Atif Aslam
Afternoon,14603,5.4,5.6,Chill,Drivers License - Olivia Rodrigo
Morning,1990,18.8,25.7,Rock,Tajdar-e-Haram - Atif Aslam
Evening,3782,29.2,24.9,Classical,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,13085,19.2,3.4,Classical,Drivers License - Olivia Rodrigo
Afternoon,9365,18.5,1.3,Hip-Hop,Tum Hi Ho - Arijit Singh
Afternoon,15361,37.4,9.3,Hip-Hop,Aadat - Jal Band
Night,6261,39.9,20.4,Classical,Kesariya - Arijit Singh
Night,8893,36.4,28.6,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Night,7641,19.0,19.3,Pop,Drivers License - Olivia Rodrigo
Evening,12441,31.5,8.8,Pop,Kesariya - Arijit Singh
Evening,16104,19.8,16.1,Rock,Kesariya - Arijit Singh
Evening,17424,3.0,0.5,Classical,Drivers License - Olivia Rodrigo
Evening,12994,12.5,20.9,Chill,Tum Hi Ho - Arijit Singh
Morning,9572,18.4,17.0,Rock,Tum Hi Ho - Arijit Singh
Night,16527,20.2,11.6,Rock,Drivers License - Olivia Rodrigo
Afternoon,11831,37.7,29.2,Pop,Shape of You - Ed Sheeran
Evening,1665,17.0,28.1,Pop,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,8508,28.4,22.2,Pop,Someone Like You - Adele
Night,7322,16.7,15.5,Hip-Hop,Tum Hi Ho - Arijit Singh
Evening,14632,29.9,22.5,Hip-Hop,Channa Mereya - Arijit Singh
Afternoon,3991,9.8,6.6,Classical,Shape of You - Ed Sheeran
Morning,16570,20.1,24.7,Rock,Shape of You - Ed Sheeran
Evening,19203,30.3,12.5,Hip-Hop,Channa Mereya - Arijit Singh
Morning,11607,7.3,9.3,Hip-Hop,Tum Hi Ho - Arijit Singh
Afternoon,4378,33.1,22.9,Jazz,Aadat - Jal Band
Evening,12449,25.1,8.8,Pop,Shape of You - Ed Sheeran
Afternoon,6694,4.0,19.9,Classical,Zaroori Tha - Rahat Fateh Ali Khan
Evening,2047,25.8,17.8,Hip-Hop,Apna Bana Le - Arijit Singh
Morning,14541,7.9,14.6,Hip-Hop,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,6987,15.9,26.3,Chill,Drivers License - Olivia Rodrigo
Night,17528,0.2,13.3,Pop,Kesariya - Arijit Singh
Evening,8586,0.2,11.9,Classical,Tajdar-e-Haram - Atif Aslam
Morning,6667,6.5,6.6,Classical,Tum Hi Ho - Arijit Singh
Afternoon,19107,34.1,10.4,Jazz,Levitating - Dua Lipa
Evening,19379,22.6,7.7,Hip-Hop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,8634,30.9,7.1,Pop,Kesariya - Arijit Singh
Morning,6160,25.8,25.1,Jazz,Tajdar-e-Haram - Atif Aslam
Night,13265,16.3,7.6,Pop,Blinding Lights - The Weeknd
Night,5460,17.3,5.1,Pop,Kesariya - Arijit Singh
Morning,2867,33.5,20.2,Rock,Blinding Lights - The Weeknd
Evening,1757,10.8,19.9,Rock,Tum Hi Ho - Arijit Singh
Night,4989,13.7,16.1,Chill,Zaroori Tha - Rahat Fateh Ali Khan
Evening,3605,29.1,18.9,Classical,Levitating - Dua Lipa
Afternoon,15707,13.8,13.8,Jazz,Aadat - Jal Band
Morning,1173,33.0,23.2,Classical,Channa Mereya - Arijit Singh
Morning,2722,39.2,19.9,Pop,Tum Hi Ho - Arijit Singh
Evening,13756,39.6,19.0,Pop,Tum Hi Ho - Arijit Singh
Afternoon,8412,10.9,3.3,Chill,Tum Hi Ho - Arijit Singh
Afternoon,17774,39.5,26.3,Hip-Hop,Blinding Lights - The Weeknd
Morning,14145,17.8,25.7,Hip-Hop,Blinding Lights - The Weeknd
Night,17766,5.6,16.9,Rock,Channa Mereya - Arijit Singh
Morning,4625,11.7,17.6,Hip-Hop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Evening,14605,11.8,16.0,Jazz,Channa Mereya - Arijit Singh
Night,1308,26.8,1.9,Rock,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,18053,16.0,3.3,Pop,Levitating - Dua Lipa
Morning,13263,21.4,22.3,Classical,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Evening,17856,25.6,2.9,Chill,Afreen Afreen - Rahat Fateh Ali Khan
Evening,13093,24.1,6.3,Hip-Hop,Afreen Afreen - Rahat Fateh Ali Khan
Evening,18333,19.6,24.3,Jazz,Zaroori Tha - Rahat Fateh Ali Khan
Night,11739,27.0,4.7,Hip-Hop,Channa Mereya - Arijit Singh
Evening,3332,14.0,29.6,Hip-Hop,Shape of You - Ed Sheeran
Night,10943,8.4,6.7,Classical,Blinding Lights - The Weeknd
Afternoon,1016,7.4,17.7,Hip-Hop,Aadat - Jal Band
Evening,9426,18.1,2.0,Hip-Hop,Channa Mereya - Arijit Singh
Morning,4745,10.3,15.2,Rock,Aadat - Jal Band
Evening,9574,12.5,14.6,Rock,Someone Like You - Adele
Night,14228,9.5,11.5,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Morning,3839,13.7,27.8,Hip-Hop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,5032,9.8,12.5,Jazz,Levitating - Dua Lipa
Evening,17710,9.0,4.7,Rock,Tajdar-e-Haram - Atif Aslam
Evening,16725,36.8,5.5,Jazz,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,4392,16.9,2.8,Pop,Apna Bana Le - Arijit Singh
Afternoon,13069,7.9,0.8,Classical,Tajdar-e-Haram - Atif Aslam
Evening,10135,22.0,18.0,Classical,Shape of You - Ed Sheeran
Morning,6340,5.9,16.2,Rock,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,18250,5.7,12.7,Classical,Tera Ban Jaunga - Akhil Sachdeva
Evening,15391,17.5,6.3,Pop,Aadat - Jal Band
Night,10857,5.4,18.8,Jazz,Someone Like You - Adele
Evening,14867,18.8,11.7,Chill,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Afternoon,6103,5.0,7.0,Jazz,Tera Ban Jaunga - Akhil Sachdeva
Evening,18525,37.7,25.6,Classical,Shape of You - Ed Sheeran
Evening,4925,9.8,27.2,Chill,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,10844,28.1,9.2,Classical,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,6730,6.2,18.9,Rock,Drivers License - Olivia Rodrigo
Evening,17374,17.4,21.6,Classical,Apna Bana Le - Arijit Singh
Afternoon,13196,28.7,17.2,Chill,Someone Like You - Adele
Morning,7658,0.6,27.8,Pop,Blinding Lights - The Weeknd
Evening,14725,34.2,8.7,Hip-Hop,Kesariya - Arijit Singh
Night,14106,31.4,15.1,Pop,Afreen Afreen - Rahat Fateh Ali Khan
Night,12037,25.0,15.6,Classical,Levitating - Dua Lipa
Night,19733,18.9,23.9,Chill,Tum Hi Ho - Arijit Singh
Afternoon,5639,19.1,13.9,Pop,Someone Like You - Adele
Afternoon,8478,3.7,12.6,Chill,Afreen Afreen - Rahat Fateh Ali Khan
Night,10383,37.9,5.6,Pop,Channa Mereya - Arijit Singh
Night,4126,27.9,29.1,Rock,Tum Hi Ho - Arijit Singh
Afternoon,3079,29.8,29.5,Rock,Drivers License - Olivia Rodrigo
Afternoon,10665,2.7,9.6,Hip-Hop,Afreen Afreen - Rahat Fateh Ali Khan
Evening,19770,6.7,10.1,Hip-Hop,Blinding Lights - The Weeknd
Night,9678,8.3,6.1,Jazz,Shape of You - Ed Sheeran
Night,14953,35.3,3.7,Classical,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Evening,15681,27.4,2.7,Rock,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,13444,39.8,11.6,Classical,Levitating - Dua Lipa
Night,7559,24.6,21.1,Rock,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,10365,0.8,12.0,Classical,Drivers License - Olivia Rodrigo
Night,17815,14.5,18.1,Pop,Levitating - Dua Lipa
Afternoon,8138,26.7,11.3,Chill,Tajdar-e-Haram - Atif Aslam
Morning,16745,6.4,15.0,Jazz,Channa Mereya - Arijit Singh
Night,10172,25.3,8.0,Chill,Levitating - Dua Lipa
Night,5201,0.5,1.2,Rock,Kesariya - Arijit Singh
Evening,8654,39.0,21.0,Classical,Levitating - Dua Lipa
Evening,1290,27.6,19.6,Hip-Hop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,18571,17.1,23.3,Hip-Hop,Drivers License - Olivia Rodrigo
Evening,13009,17.5,22.3,Hip-Hop,Channa Mereya - Arijit Singh
Night,16001,5.4,23.6,Pop,Drivers License - Olivia Rodrigo
Morning,13521,21.5,27.3,Chill,Zaroori Tha - Rahat Fateh Ali Khan
Night,11339,39.7,24.4,Pop,Levitating - Dua Lipa
Morning,8761,14.3,3.4,Rock,Afreen Afreen - Rahat Fateh Ali Khan
Evening,5626,32.5,1.3,Hip-Hop,Zaroori Tha - Rahat Fateh Ali Khan
Evening,15629,37.9,23.0,Chill,Kesariya - Arijit Singh
Afternoon,18078,0.4,17.1,Pop,Drivers License - Olivia Rodrigo
Night,19353,22.9,25.4,Rock,Kesariya - Arijit Singh
Afternoon,3563,39.2,14.5,Pop,Apna Bana Le - Arijit Singh
Morning,18257,24.1,17.9,Classical,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,10438,37.2,28.1,Classical,Tajdar-e-Haram - Atif Aslam
Morning,10405,7.4,3.6,Hip-Hop,Apna Bana Le - Arijit Singh
Morning,1861,9.7,9.5,Hip-Hop,Drivers License - Olivia Rodrigo
Night,16533,25.3,4.2,Jazz,Tera Ban Jaunga - Akhil Sachdeva
Morning,19184,3.2,25.0,Jazz,Channa Mereya - Arijit Singh
Evening,16908,33.8,1.0,Pop,Tera Ban Jaunga - Akhil Sachdeva
Night,8270,29.7,16.4,Jazz,Zaroori Tha - Rahat Fateh Ali Khan
Night,8142,31.5,21.5,Pop,Kesariya - Arijit Singh
Night,10983,31.9,23.2,Chill,Drivers License - Olivia Rodrigo
